55,Estramônio,'Datura stramonium',Solanaceae,'América do Norte','O estramônio é uma planta venenosa.'
56,Figo,'Ficus carica',Moraceae,'Mediterrâneo','A figueira produz o fruto figo.'
57,Gengibre,'Zingiber officinale',Zingiberaceae,'Sudeste Asiático','O gengibre é uma raiz usada na culinária e na medicina.'
58,Heléboro,'Helleborus spp.',Ranunculaceae,'Europa e Ásia','Os heléboros são apreciados por suas flores de inverno.'
59,Iris,'Iris spp.',Iridaceae,'Mundo todo','Os íris são conhecidos por suas flores coloridas.'
60,Jacarandá,'Jacaranda mimosifolia',Bignoniaceae,'América do Sul','O jacarandá tem flores roxas em forma de sino.'
61,Kalanchoe,'Kalanchoe spp.',Crassulaceae,'África','As kalanchoes são suculentas com flores coloridas.'
62,Lilás,'Syringa vulgaris',Oleaceae,'Europa','Os lilases têm flores perfumadas.'
63,Mamoeiro,'Carica papaya',Caricaceae,'América Central','O mamoeiro produz o fruto mamão.'
64,Nenúfar,'Nymphaea spp.',Nymphaeaceae,'Mundo todo','Os nenúfares são plantas aquáticas com flores flutuantes.'
65,Oncidium,'Oncidium spp.',Orchidaceae,'América do Sul','Os oncidiums são orquídeas com flores pequenas e vistosas.'
66,Peperômia-ratinho,'Peperomia argyreia',Piperaceae,'América do Sul','A peperômia-ratinho tem folhas em forma de coração.'
67,Quaresmeira,'Tibouchina spp.',Melastomataceae,'América do Sul','A quaresmeira tem flores roxas.'
68,Ranúnculo,'Ranunculus spp.',Ranunculaceae,'Europa e Ásia','Os ranúnculos têm flores dobradas.'
69,Salgueiro,'Salix spp.',Salicaceae,'Mundo todo','Os salgueiros são árvores com folhas longas e finas.'
70,Trifolium,'Trifolium spp.',Fabaceae,'Mundo todo','Os trifólios são trevos de três folhas.'
71,Urze,'Calluna vulgaris',Ericaceae,'Europa','A urze tem flores pequenas em forma de sino.'
72,Verbena,'Verbena spp.',Verbenaceae,'América','A verbena é apreciada por suas flores pequenas e coloridas.'
73,Wisteria,'Wisteria spp.',Fabaceae,'Ásia','A glicínia tem cachos de flores pendentes.'
74,Xanadu,'Philodendron xanadu',Araceae,'América do Sul','A xanadu é uma planta de interior com folhas recortadas.'
75,Yucca,'Yucca spp.',Asparagaceae,'Américas','O yucca é uma planta desértica com folhas rígidas.'
76,Zínia,'Zinnia spp.',Asteraceae,'América do Norte','As zínias têm flores coloridas e únicas.'
77,Alecrim-pimenta,'Lepidium bonariense',Brassicaceae,'América do Sul','O alecrim-pimenta é usado como tempero na culinária.'
78,Bromélia,'Bromeliaceae',Bromeliaceae,'América do Sul','As bromélias são plantas de ar e solo.'
79,Camarão-amarelo,'Pachystachys lutea',Acanthaceae,'América do Sul','O camarão-amarelo tem flores amarelas em forma de camarão.'
80,Dedaleira,'Digitalis purpurea',Plantaginaceae,'Europa','A dedaleira é usada na medicina tradicional.'
81,Erva-gateira,'Nepeta cataria',Lamiaceae,'Europa e Ásia','A erva-gateira é conhecida por atrair gatos.'
82,Fuchsia,'Fuchsia spp.',Onagraceae,'América e Nova Zelândia','As fúcsias têm flores pendentes.'
83,Goiabeira,'Psidium guajava',Myrtaceae,'América Central','A goiabeira produz o fruto goiaba.'
84,Helleborus,'Helleborus spp.',Ranunculaceae,'Europa e Ásia','Os helleborus são apreciados por suas flores de inverno.'
85,Íris-azul,'Iris germanica',Iridaceae,'Europa','As íris-azuis têm flores de cores variadas.'
86,Jurubeba,'Solanum paniculatum',Solanaceae,'América do Sul','A jurubeba é uma planta medicinal.'
87,Kentia,'Howea forsteriana',Arecaceae,'Oceania','A kentia é uma palmeira de interior popular.'
88,Limão,'Citrus limon',Rutaceae,'Ásia','O limão é uma fruta cítrica usada na culinária.'
89,Mandevilla,'Mandevilla spp.',Apocynaceae,'América Central','As mandevillas têm flores em forma de trompete.'
90,Narciso,'Narcissus spp.',Amaryllidaceae,'Europa e Ásia','Os narcisos têm flores em forma de sino.'
91,Oncidium-dourado,'Oncidium sphacelatum',Orchidaceae,'América do Sul','Os oncidiuns-dourados têm flores amarelas e pequenas.'
92,Peperômia-tricolor,'Peperomia obtusifolia',Piperaceae,'América do Sul','A peperômia'
93,Ranunculus,'Ranunculus spp.',Ranunculaceae,'Europa e Ásia','Os ranúnculos têm flores dobradas.'
94,Salgueiro-chorão,'Salix babylonica',Salicaceae,'Ásia','O salgueiro-chorão é conhecido por suas folhas longas e pendentes.'
95,Trifolium-vermelho,'Trifolium pratense',Fabaceae,'Europa e Ásia','O trifolium-vermelho é um trevo de três folhas com flores vermelhas.'
96,Urze-roxa,'Erica cinerea',Ericaceae,'Europa','A urze-roxa tem flores pequenas em forma de sino.'
97,Verbena-roxa,'Verbena rigida',Verbenaceae,'América do Sul','A verbena-roxa é apreciada por suas flores pequenas e roxas.'
98,Wisteria-azul,'Wisteria sinensis',Fabaceae,'Ásia','A glicínia-azul tem cachos de flores pendentes de cor azul.'
99,Xanadu-philodendron,'Philodendron bipinnatifidum',Araceae,'América do Sul','A xanadu-philodendron é uma planta de interior com folhas recortadas.'
100,Yucca-elefante,'Yucca elephantipes',Asparagaceae,'América Central','O yucca-elefante é uma planta desértica com folhas rígidas.'
